메이커,모델,스펙,배기량,기통,변속기,연료,CITY연비,HWY연비,CO2배출량
AUDI,A4,COMPACT,2,4,CVT,고급유,10.1,13.5,202
AUDI,A4,COMPACT,2,4,CVT,고급유,8.7,12.3,230
AUDI,A4,COMPACT,2,4,MT,고급유,9.3,13.3,214
AUDI,"","",2,4,CVT,고급유,8.7,12.3,230
AUDI,"","",2,4,CVT,고급유,8.7,12.3,230
AUDI,"","",2,4,MT,고급유,9.3,13.3,214
AUDI,A6,MID_SIZE,2,4,CVT,고급유,8.3,12.3,235
AUDI,A6,MID_SIZE,3,6,CVT,고급유,7.8,11.6,251
AUDI,A6_TDI,MID_SIZE,3,6,CVT,경유,10.2,16.1,217
AUDI,A7,MID_SIZE,3,6,CVT,고급유,7.5,11.8,262
AUDI,A7_TDI,MID_SIZE,3,6,CVT,경유,10.2,16.1,217
AUDI,A8,MID_SIZE,3,6,CVT,고급유,7.6,11.4,258
AUDI,A8,MID_SIZE,4,8,CVT,고급유,7.3,12,265
AUDI,A8_TDI,MID_SIZE,3,6,CVT,경유,10.2,15.4,224
AUDI,A8L,FULL_SIZE,3,6,CVT,고급유,7.6,11.4,258
AUDI,A8L,FULL_SIZE,4,8,CVT,고급유,6.8,10.3,288
AUDI,A8L,FULL_SIZE,6.3,12,CVT,고급유,5.3,8.7,363
AUDI,A8L_TDI,FULL_SIZE,3,6,CVT,경유,10.2,15.4,224
AUDI,ALLROAD,STATION WAGON ,2,4,CVT,고급유,8.5,11.4,242
AUDI,Q5,SUV ,2,4,CVT,고급유,8.3,11.8,239
AUDI,Q5,SUV ,3,6,CVT,고급유,7.8,10.9,258
AUDI,Q5_TDI,SUV ,3,6,CVT,경유,9.8,12.8,244
AUDI,Q5_HYBRID,SUV ,2,4,CVT,고급유,10.1,12,212
AUDI,Q7,SUV ,3,6,CVT,고급유,6.6,9.2,304
AUDI,Q7_TDI,SUV ,3,6,CVT,경유,8.1,11.5,290
AUDI,R8,TWO_SEATER,4.2,8,AT,고급유,5.7,9.1,336
AUDI,R8,TWO_SEATER,4.2,8,MT,고급유,4.7,7.5,407
AUDI,R8,TWO_SEATER,5.2,10,AT,고급유,5.5,9.4,347
AUDI,R8,TWO_SEATER,5.2,10,MT,고급유,4.7,7.2,409
AUDI,R8,TWO_SEATER,4.2,8,AT,고급유,5.7,9.1,336
AUDI,R8,TWO_SEATER,4.2,8,MT,고급유,4.7,7.5,407
AUDI,R8,TWO_SEATER,5.2,10,AT,고급유,,9.4,347
AUDI,R8,TWO_SEATER,5.2,10,MT,고급유,4.7,7.2,409
AUDI,RS,SUBCOMPACT,4.2,8,AT,고급유,6.5,9.2,306
AUDI,RS,SUBCOMPACT,4.2,8,AT,고급유,6.6,8.8,308
AUDI,RS,MID_SIZE,4,8,CVT,고급유,6.5,11.4,293
AUDI,S4,COMPACT,3,6,AT,고급유,7.6,10.9,262
AUDI,S4,COMPACT,3,6,MT,고급유,6.8,10.2,285
AUDI,S5,SUBCOMPACT,3,6,AT,고급유,7.6,10.9,262
AUDI,S5,SUBCOMPACT,3,6,MT,고급유,6.8,10.2,285
AUDI,S5,SUBCOMPACT,3,6,AT,고급유,7.5,10.5,267
AUDI,S6,MID_SIZE,4,8,AT,고급유,7,10.3,281
AUDI,S7,MID_SIZE,4,8,AT,고급유,7,10.3,281
AUDI,S8,MID_SIZE,4,8,CVT,고급유,6.3,10.9,300
AUDI,SQ5,SUV ,3,6,CVT,고급유,6.7,9.9,292
AUDI,TT,SUBCOMPACT,2,4,AT,고급유,9.6,13.2,209
AUDI,TT,TWO_SEATER,2,4,AT,고급유,9.6,13.2,209
AUDI,TTS,SUBCOMPACT,2,4,AT,고급유,8.7,11.4,237
AUDI,TTS,TWO_SEATER,2,4,AT,고급유,8.7,11.4,237
AUDI,A3,SUBCOMPACT,1.8,4,AT,고급유,10,14.1,200
